condition,line,day,chromosome,copy_number
PA,1,200,I,3
PA,1,200,II,4
PA,1,200,III,7
PA,1,200,IV,4
PA,1,200,IX,4
PA,1,200,V,4
PA,1,200,VI,4
PA,1,200,VII,4
PA,1,200,VIII,5
PA,1,200,X,4
PA,1,200,XI,4
PA,1,200,XII,4
PA,1,200,XIII,4
PA,1,200,XIV,4
PA,1,200,XV,4
PA,1,200,XVI,4
PA,1,400,I,3
PA,1,400,II,4
PA,1,400,III,4
PA,1,400,IV,4
PA,1,400,IX,5
PA,1,400,V,4
PA,1,400,VI,4
PA,1,400,VII,4
PA,1,400,VIII,6
PA,1,400,X,4
PA,1,400,XI,4
PA,1,400,XII,4
PA,1,400,XIII,4
PA,1,400,XIV,4
PA,1,400,XV,4
PA,1,400,XVI,4
PA,1,600,I,3
PA,1,600,II,4
PA,1,600,III,3
PA,1,600,IV,4
PA,1,600,IX,5
PA,1,600,V,4
PA,1,600,VI,4
PA,1,600,VII,4
PA,1,600,VIII,6
PA,1,600,X,4
PA,1,600,XI,4
PA,1,600,XII,4
PA,1,600,XIII,4
PA,1,600,XIV,5
PA,1,600,XV,4
PA,1,600,XVI,4
PA,1,1000,I,4
PA,1,1000,II,4
PA,1,1000,III,3
PA,1,1000,IV,4
PA,1,1000,IX,7
PA,1,1000,V,4
PA,1,1000,VI,4
PA,1,1000,VII,4
PA,1,1000,VIII,6
PA,1,1000,X,4
PA,1,1000,XI,4
PA,1,1000,XII,4
PA,1,1000,XIII,4
PA,1,1000,XIV,5
PA,1,1000,XV,4
PA,1,1000,XVI,4
PA,2,200,I,3
PA,2,200,II,5
PA,2,200,III,4
PA,2,200,IV,4
PA,2,200,IX,4
PA,2,200,V,4
PA,2,200,VI,3
PA,2,200,VII,4
PA,2,200,VIII,5
PA,2,200,X,4
PA,2,200,XI,4
PA,2,200,XII,4
PA,2,200,XIII,4
PA,2,200,XIV,4
PA,2,200,XV,4
PA,2,200,XVI,4
PA,2,400,I,3
PA,2,400,II,4
PA,2,400,III,4
PA,2,400,IV,4
PA,2,400,IX,4
PA,2,400,V,4
PA,2,400,VI,4
PA,2,400,VII,4
PA,2,400,VIII,5
PA,2,400,X,4
PA,2,400,XI,4
PA,2,400,XII,4
PA,2,400,XIII,4
PA,2,400,XIV,4
PA,2,400,XV,4
PA,2,400,XVI,4
PA,2,600,I,3
PA,2,600,II,5
PA,2,600,III,5
PA,2,600,IV,4
PA,2,600,IX,5
PA,2,600,V,4
PA,2,600,VI,4
PA,2,600,VII,4
PA,2,600,VIII,7
PA,2,600,X,4
PA,2,600,XI,4
PA,2,600,XII,4
PA,2,600,XIII,4
PA,2,600,XIV,4
PA,2,600,XV,5
PA,2,600,XVI,4
PA,2,1000,I,3
PA,2,1000,II,5
PA,2,1000,III,5
PA,2,1000,IV,4
PA,2,1000,IX,6
PA,2,1000,V,4
PA,2,1000,VI,4
PA,2,1000,VII,4
PA,2,1000,VIII,7
PA,2,1000,X,4
PA,2,1000,XI,4
PA,2,1000,XII,4
PA,2,1000,XIII,4
PA,2,1000,XIV,4
PA,2,1000,XV,5
PA,2,1000,XVI,4
PA,3,200,I,4
PA,3,200,II,4
PA,3,200,III,3
PA,3,200,IV,4
PA,3,200,IX,4
PA,3,200,V,4
PA,3,200,VI,4
PA,3,200,VII,4
PA,3,200,VIII,5
PA,3,200,X,4
PA,3,200,XI,4
PA,3,200,XII,3
PA,3,200,XIII,4
PA,3,200,XIV,4
PA,3,200,XV,4
PA,3,200,XVI,4
PA,3,400,I,3
PA,3,400,II,4
PA,3,400,III,4
PA,3,400,IV,4
PA,3,400,IX,4
PA,3,400,V,4
PA,3,400,VI,4
PA,3,400,VII,4
PA,3,400,VIII,5
PA,3,400,X,4
PA,3,400,XI,4
PA,3,400,XII,4
PA,3,400,XIII,4
PA,3,400,XIV,4
PA,3,400,XV,4
PA,3,400,XVI,4
PA,3,600,I,3
PA,3,600,II,5
PA,3,600,III,3
PA,3,600,IV,4
PA,3,600,IX,4
PA,3,600,V,4
PA,3,600,VI,3
PA,3,600,VII,4
PA,3,600,VIII,5
PA,3,600,X,4
PA,3,600,XI,4
PA,3,600,XII,4
PA,3,600,XIII,4
PA,3,600,XIV,4
PA,3,600,XV,4
PA,3,600,XVI,4
PA,3,1000,I,3
PA,3,1000,II,5
PA,3,1000,III,3
PA,3,1000,IV,4
PA,3,1000,IX,4
PA,3,1000,V,4
PA,3,1000,VI,4
PA,3,1000,VII,4
PA,3,1000,VIII,7
PA,3,1000,X,4
PA,3,1000,XI,4
PA,3,1000,XII,3
PA,3,1000,XIII,4
PA,3,1000,XIV,4
PA,3,1000,XV,4
PA,3,1000,XVI,4
PA,4,200,I,3
PA,4,200,II,4
PA,4,200,III,5
PA,4,200,IV,4
PA,4,200,IX,4
PA,4,200,V,4
PA,4,200,VI,4
PA,4,200,VII,4
PA,4,200,VIII,5
