condition,ploidy,replicate,cell_count,mean_cell_volume_um3,mean_aspect_ratio,cluster_count_24h,weighted_mean_radius_um_24h
PA,2N,Rep1,3558,59.160327912842,1.224656548623,856,19.844429037934
PA,2N,Rep2,2566,65.233673980181,1.205433749026,845,20.162711656077
PA,2N,Rep3,1972,65.769546752353,1.212008113590,874,20.354578932226
PA,2N,Rep4,2364,58.652067043232,1.241310067682,674,20.266252434425
PA,4N,Rep1,1422,137.532495972238,1.321610407876,1644,27.461585902557
PA,4N,Rep2,1647,132.296462009497,1.329879781421,1616,27.768368124696
PA,4N,Rep3,1826,126.883817236660,1.359110076670,1564,27.159794736749
PA,4N,Rep4,1996,115.790870132475,1.340187374749,1544,26.804897764387
PM,2N,Rep1,1818,77.978053139184,1.285898239824,868,25.901532763203
PM,2N,Rep2,3009,78.242324177328,1.249594217348,1064,25.652145738923
PM,2N,Rep3,2295,77.844575168604,1.257969934641,1156,25.995304544614
PM,2N,Rep4,3990,72.805285804915,1.269726566416,955,26.012223579403
PM,4N,Rep1,2965,156.863613046626,1.390336593592,929,42.919617242842
PM,4N,Rep2,2501,149.415062189863,1.416914034386,980,41.657415644792
PM,4N,Rep3,2286,153.518647815231,1.404570428696,925,42.148498355728
PM,4N,Rep4,3114,151.681677340963,1.408375401413,733,44.864180355742
