condition,line,day,weighted_mean_radius_um,mean_cell_volume_um3,mean_aspect_ratio,g1_peak_n
PA,1,200,43.8395411589486,147.226149656349,1.53988322717622,3.96243248550983
PA,1,400,68.7222803804175,157.476369733431,1.878286,3.98716020080494
PA,1,600,476.643147237832,162.365542093665,2.10740128068303,4.02928688609132
PA,1,1000,412.442658172987,171.42560082555,2.0908622327791,4.11231076542088
PA,2,200,40.2068460488771,136.204238620236,1.34947067137809,3.94551044184948
PA,2,400,44.1309298086683,119.846839312871,1.45586022131625,3.7538207719428
PA,2,600,356.306765581963,187.346845101675,2.42387380191693,3.950631
PA,2,1000,348.654219302386,170.473562609219,2.44875037593985,4.7448181
PA,3,200,46.581614978941,151.823370420013,1.547490785645,3.9119356048027
PA,3,400,58.8306687498677,173.063798932684,1.73108907138345,3.83405852258456
PA,3,600,95.7334641486717,154.614716154194,1.9731853188929,3.89755384173598
PA,3,1000,448.6379636827,162.876987264234,2.92843295638126,4.05121720517443
PA,4,200,42.2740912274676,138.115690526974,1.50231447688564,3.93431350665105
PA,4,400,56.7609083145994,167.767185641825,1.73566446402349,4.28084499728539
PA,4,600,342.443072417511,205.31095057043,2.11464107883817,4.43574278650055
PA,4,1000,319.648938805016,186.422353588497,2.11596214511041,4.34904235127588
PA,5,200,39.773354793108,139.62400828617,1.39086999419617,4.09072084675546
PA,5,400,67.5312192670695,183.618164119884,1.8610136402387,4.29150042205792
PA,5,600,293.626369912039,153.102880890119,2.90585494880546,3.68259787103373
PA,5,1000,470.987793928912,164.046875263143,2.22706512301013,4.14320484133004
PA,ancestor,0,18.8269208645938,61.5300933612022,1.24285132275132,1.89791615722611
PM,1,200,39.3337176799085,150.780630406759,1.38329639591178,3.94924481246471
PM,1,400,41.1848263621419,147.145069209432,1.39576281112738,3.88211380335408
PM,1,600,41.4549177172929,143.270183197256,1.42242789223455,3.63473649639732
PM,1,1000,44.8695401593031,153.513326459081,1.50573211219233,3.97805832267411
PM,2,200,39.5158711968702,148.061051657816,1.38746265938069,4.05851540939962
PM,2,400,39.9001800929121,145.717712517675,1.41363609172483,3.6991990261286
PM,2,600,41.5077137965394,145.975541703836,1.44725278396437,3.6825252480985
PM,2,1000,39.1417572458651,132.631419413472,1.36329007177033,3.82282761496048
PM,3,200,39.909643230513,169.264105538857,1.38987432117921,3.76697720089458
PM,3,400,61.2383202469298,139.632708742503,1.50670822454308,3.87726305269107
PM,3,600,38.7067716070156,151.461816239603,1.39813807531381,3.97039082421937
PM,3,1000,37.6543796210835,154.275134896941,1.37932242712671,3.71832438216072
PM,4,200,44.6644865787064,153.067668088054,1.37738081671415,3.88921830498922
PM,4,400,45.6675764056429,141.20659381915,1.38158255227109,3.90836331629416
PM,4,600,45.222758225131,145.798815764889,1.4027782497876,3.65215390769536
PM,4,1000,50.9088707516235,141.175964189308,1.43297067171239,3.48887733845807
PM,5,200,41.210552999838,144.077396302339,1.43195534883721,4.03367066344943
PM,5,400,47.3563846181676,158.386946395397,1.38556268011527,3.84159258140058
PM,5,600,67.7262028531605,159.356598569881,1.59633671742809,3.84667382674567
PM,5,1000,53.2256678637685,155.8162600808,1.44535003796507,3.61574067695647
PM,ancestor,0,24.7751285066609,80.8685287705666,1.26009162098669,2.03837809210332
