day,population,aspect_ratio,radius_um
0,PA1,1.2491,16.7472384
50,PA1,1.4084,28.9603584
100,PA1,1.4067,33.0069763
150,PA1,1.58928,36.0036483
200,PA1,1.46425,38.8424868
250,PA1,1.68435,36.978814
300,PA1,1.79598,38.6298871
350,PA1,1.88782,39.1983383
400,PA1,2.18392,50.6034164
450,PA1,2.31332,68.6263139
500,PA1,2.48552,231.608822
550,PA1,2.79801,369.274983
600,PA1,2.54014,433.224425
0,PA2,1.2491,16.7472384
50,PA2,1.44149,31.1182354
100,PA2,1.42414,33.5390859
150,PA2,1.61666,38.3574972
200,PA2,1.55824,39.2599426
250,PA2,1.96637,63.1492816
300,PA2,1.88813,73.3842037
350,PA2,2.17038,213.854166
400,PA2,2.19645,
450,PA2,2.39205,257.469032
500,PA2,2.88201,394.551481
550,PA2,2.69004,445.935169
600,PA2,2.79101,579.760245
0,PA3,1.2491,16.7472384
50,PA3,1.42286,29.7928859
100,PA3,1.47874,33.1611325
150,PA3,1.6791,39.2733312
200,PA3,1.56949,41.1581918
250,PA3,1.53925,43.2123076
300,PA3,1.64765,46.0273088
350,PA3,1.73002,41.4565343
400,PA3,2.10566,52.7262215
450,PA3,2.24549,66.8522343
500,PA3,2.4882,92.9413635
550,PA3,2.47887,145.600491
600,PA3,2.83869,288.731822
0,PA4,1.2491,16.7472384
50,PA4,1.44173,28.8935918
100,PA4,1.55776,34.2010654
150,PA4,1.59331,36.5442624
200,PA4,1.56071,37.8620663
250,PA4,1.56355,41.2107906
300,PA4,1.7705,49.3349786
350,PA4,2.1376,57.5817731
400,PA4,2.27722,60.5342035
450,PA4,2.26254,50.6285678
500,PA4,2.578,292.871548
550,PA4,2.55289,374.662068
600,PA4,2.53632,411.793593
0,PA5,1.2491,16.7472384
50,PA5,1.44851,30.4569548
100,PA5,1.47037,33.8930477
150,PA5,1.56802,36.3363688
200,PA5,1.82312,47.2217201
250,PA5,1.76281,67.4713651
300,PA5,2.04281,75.2349644
350,PA5,2.4846,143.790859
400,PA5,2.70406,361.278373
450,PA5,2.51302,390.754762
500,PA5,3.24111,431.896648
550,PA5,2.9484,296.006593
600,PA5,3.15985,456.803192
